epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7836682200431824,0.47347214818000793,1e-05,0.8126575946807861,0.3592454195022583
1,0.8122273087501526,0.4095526337623596,1e-05,0.8244529366493225,0.33156412839889526
2,0.826262891292572,0.3781276345252991,1e-05,0.8310420513153076,0.3137585520744324
3,0.8351894617080688,0.3542683720588684,1e-05,0.8336451649665833,0.30693233013153076
4,0.8418197631835938,0.33805394172668457,1e-05,0.8343772888183594,0.30683842301368713
5,0.8468857407569885,0.3268817663192749,1e-05,0.8345400094985962,0.30558687448501587
6,0.8501148223876953,0.3159016966819763,1e-05,0.83803790807724,0.29747799038887024
7,0.8533008098602295,0.3085804283618927,1e-05,0.8391767740249634,0.29314953088760376
8,0.8568025231361389,0.2992369830608368,1e-05,0.8399088978767395,0.30441778898239136
9,0.8587686419487,0.29302453994750977,1e-05,0.8386073112487793,0.297649085521698
10,0.8609930872917175,0.2888511121273041,1e-05,0.8412917852401733,0.2929253578186035
11,0.8636911511421204,0.28141599893569946,1e-05,0.8406410217285156,0.2950385808944702
12,0.8662026524543762,0.2759583294391632,1e-05,0.8404783010482788,0.29114529490470886
13,0.8674799203872681,0.2714698910713196,1e-05,0.8412917852401733,0.290988028049469
14,0.8676090836524963,0.27149802446365356,1e-05,0.8412104249000549,0.2839924097061157
15,0.8696756362915039,0.26602277159690857,1e-05,0.8412917852401733,0.2875021994113922
16,0.8707520365715027,0.2630827724933624,1e-05,0.8415358066558838,0.28584229946136475
17,0.8707807064056396,0.2631717920303345,1e-05,0.8418612480163574,0.28299006819725037
18,0.8725889921188354,0.25851839780807495,1e-05,0.8416171669960022,0.28991037607192993
19,0.8736940026283264,0.25552013516426086,1e-05,0.8412104249000549,0.29508262872695923
