epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6227899193763733,0.8609878420829773,0.001,0.6967380046844482,0.6667620539665222
1,0.6838117241859436,0.7105095982551575,0.001,0.727568507194519,0.6039712429046631
2,0.6986509561538696,0.6703189611434937,0.001,0.7314732074737549,0.5395162105560303
3,0.7141360640525818,0.6432074904441833,0.001,0.7459529638290405,0.5443686246871948
4,0.7225602865219116,0.621778130531311,0.001,0.7432685494422913,0.497750848531723
5,0.7270235419273376,0.6119747161865234,0.001,0.7767835259437561,0.4820438623428345
6,0.7337256073951721,0.5965949296951294,0.001,0.7697063088417053,0.49064841866493225
7,0.7347015142440796,0.5929555296897888,0.001,0.7802814841270447,0.4614943265914917
8,0.7410447597503662,0.5817955136299133,0.001,0.7420483231544495,0.48517483472824097
9,0.7440298795700073,0.571900486946106,0.001,0.798991322517395,0.43942567706108093
