loss,accuracy,val_loss,val_accuracy,lr
1.3107962608337402,0.7253718376159668,0.9462137222290039,0.9262152910232544,1e-04
1.02385413646698,0.869152843952179,0.9186909794807434,0.9461805820465088,1e-04
0.9478201270103455,0.9010562896728516,0.8193638920783997,0.9444444179534912,1e-04
0.9032459259033203,0.9213192462921143,0.776866614818573,0.9670138955116272,1e-04
0.8687773942947388,0.9407199621200562,0.7735812664031982,0.9704861044883728,1e-04
0.8550034165382385,0.9469713568687439,0.7641884684562683,0.9635416865348816,1e-04
0.8293471336364746,0.9594740271568298,0.7624139189720154,0.9678819179534912,1e-04
0.8107630610466003,0.967665433883667,0.7397931814193726,0.9722222089767456,2e-05
0.8011055588722229,0.9752101898193359,0.7338583469390869,0.9730902910232544,2e-05
0.7941573858261108,0.9771502614021301,0.7272676825523376,0.9782986044883728,2e-05
0.7878402471542358,0.9799525737762451,0.7330085039138794,0.9713541865348816,2e-05
0.7902376651763916,0.9793058633804321,0.7244740724563599,0.9782986044883728,2e-05
0.7890216708183289,0.9805992841720581,0.7307104468345642,0.9748263955116272,4e-06
0.7803545594215393,0.9836171865463257,0.7264668345451355,0.9791666865348816,4e-06
0.7782809734344482,0.9844794273376465,0.728043258190155,0.9765625,4e-06
0.7782198786735535,0.9853416681289673,0.7266050577163696,0.9756944179534912,4e-06
0.7763836979866028,0.9890062808990479,0.7270448207855225,0.9765625,1e-06
0.7755024433135986,0.9881439805030823,0.7241294384002686,0.9765625,1e-06
0.7802750468254089,0.9846949577331543,0.7293417453765869,0.9756944179534912,1e-06
