epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6434414386749268,0.8066900968551636,0.001,0.7051167488098145,0.6381692290306091
1,0.7092565894126892,0.6481688618659973,0.001,0.7539250254631042,0.526623010635376
2,0.7282577753067017,0.6005699634552002,0.001,0.7636052966117859,0.5049995183944702
3,0.7368685603141785,0.579314649105072,0.001,0.7820711135864258,0.4736790359020233
4,0.7481199502944946,0.555293083190918,0.001,0.770194411277771,0.46182313561439514
5,0.7535591125488281,0.5442124009132385,0.001,0.7740990519523621,0.4563838839530945
6,0.7597158551216125,0.5315134525299072,0.001,0.7635239362716675,0.44596049189567566
7,0.7617250084877014,0.5205869078636169,0.001,0.7890669703483582,0.4278910756111145
8,0.7653558850288391,0.5142659544944763,0.001,0.7932156324386597,0.4358751177787781
9,0.7681400775909424,0.5085390210151672,0.001,0.7881721258163452,0.4279797673225403
