epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7928817272186279,0.452663779258728,1e-05,0.8144472241401672,0.3616945147514343
1,0.8081515431404114,0.414907842874527,1e-05,0.8214430809020996,0.34938645362854004
2,0.8177669048309326,0.394593209028244,1e-05,0.8235581517219543,0.33411866426467896
3,0.8227899074554443,0.38238468766212463,1e-05,0.8242089152336121,0.33404994010925293
4,0.8284873962402344,0.36452481150627136,1e-05,0.8290897011756897,0.3204399347305298
5,0.8342996835708618,0.35389208793640137,1e-05,0.8296591639518738,0.32045939564704895
6,0.8376865386962891,0.3469630777835846,1e-05,0.8320995569229126,0.3130311071872711
7,0.8390069007873535,0.34075728058815,1e-05,0.8317741751670837,0.3125768005847931
8,0.8418627977371216,0.3320677578449249,1e-05,0.8319368958473206,0.30990538001060486
9,0.8454219102859497,0.32631242275238037,1e-05,0.8340519070625305,0.30565759539604187
10,0.8480912446975708,0.3208637237548828,1e-05,0.8327503204345703,0.3044605255126953
11,0.8493972420692444,0.314155638217926,1e-05,0.8320181965827942,0.30409422516822815
12,0.8510907292366028,0.3102841377258301,1e-05,0.8325876593589783,0.3095717132091522
13,0.8523966670036316,0.3068010210990906,1e-05,0.829496443271637,0.3093744218349457
14,0.8536452651023865,0.30165955424308777,1e-05,0.8358415365219116,0.29641327261924744
15,0.8560706377029419,0.297119677066803,1e-05,0.8339705467224121,0.2983807623386383
16,0.8577066659927368,0.29282665252685547,1e-05,0.8350280523300171,0.29814526438713074
17,0.8597875833511353,0.2881213426589966,1e-05,0.8279508948326111,0.30443742871284485
18,0.8606917262077332,0.2851482927799225,1e-05,0.8346213102340698,0.30203691124916077
19,0.8632462620735168,0.278534859418869,2.9999999e-06,0.8364109396934509,0.2956162989139557
