epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7922216057777405,0.4520043432712555,1e-05,0.8105425834655762,0.3714217245578766
1,0.8059270977973938,0.41916632652282715,1e-05,0.8159928321838379,0.3560725748538971
2,0.812873125076294,0.40174075961112976,1e-05,0.8219311833381653,0.33982202410697937
3,0.8188863396644592,0.3880416452884674,1e-05,0.8240461945533752,0.3327690064907074
4,0.8238662481307983,0.37639373540878296,1e-05,0.8247783184051514,0.32434388995170593
5,0.8265929818153381,0.3711698651313782,1e-05,0.8261612057685852,0.32552585005760193
6,0.8319603800773621,0.3595094680786133,1e-05,0.8251850605010986,0.32612746953964233
7,0.8328357934951782,0.3536807596683502,1e-05,0.8289270401000977,0.3227052092552185
8,0.8367393612861633,0.3467683792114258,1e-05,0.8289270401000977,0.3175273537635803
9,0.8387629389762878,0.34194910526275635,1e-05,0.8299031853675842,0.3102019131183624
10,0.839451789855957,0.3344614505767822,1e-05,0.8291710615158081,0.3145349621772766
11,0.8426234126091003,0.3310917317867279,1e-05,0.8316928148269653,0.31385770440101624
12,0.8435419201850891,0.32645750045776367,1e-05,0.8314487934112549,0.31219518184661865
13,0.8459098935127258,0.3244102895259857,1e-05,0.8305539488792419,0.31006675958633423
14,0.8475459218025208,0.3188100755214691,1e-05,0.8309606909751892,0.3107316195964813
15,0.8498421311378479,0.3128087818622589,1e-05,0.8336451649665833,0.3014950454235077
16,0.8506601452827454,0.3111092746257782,1e-05,0.8329944014549255,0.3042711019515991
17,0.8515499234199524,0.3089860677719116,1e-05,0.8318555355072021,0.30507948994636536
18,0.8537026643753052,0.3034440875053406,1e-05,0.834295928478241,0.2991545498371124
19,0.85479336977005,0.3005848228931427,1e-05,0.8326690196990967,0.30511605739593506
